timeScraped,playersOnline
1637020801.9755096,5
1637020831.9291255,5
1637020862.0042188,5
1637020892.0853639,5
1637020922.0340369,5
1637020952.0051007,5
1637020982.0811365,5
1637021012.1592202,5
1637021042.1308744,5
1637021072.2092764,5
1637021102.28517,5
1637021132.1450443,5
1637021162.2212079,5
1637021192.3922617,5
1637021222.3302855,6
1637021252.3501372,5
1637021282.3019524,5
1637021312.429901,6
1637021342.3969758,6
1637021372.5861194,5
1637021402.5531435,5
1637021432.449319,6
1637021462.630003,5
1637021492.5951755,5
1637021522.6629553,5
1637021552.7379136,5
1637021582.7075248,5
1637021612.7419298,6
1637021642.8464744,6
1637021672.738369,7
1637021981.0328777,4
1637022011.0700994,6
1637022041.0333588,5
1637022071.1741107,6
1637022101.2422247,6
1637022131.2235878,6
1637022161.3011456,6
1637022191.2561533,6
1637022221.3328981,6
1637022251.303745,5
1637022281.383182,5
1637022311.4554908,5
1637022341.47223,6
1637022371.442271,6
1637022401.5224009,5
1637022431.5672243,6
1637022461.4705603,7
1637022491.5673559,8
1637022521.6765,9
1637022551.653692,9
1637022581.6975229,9
1637022611.7708497,8
1637022641.6269312,8
1637022671.8350375,8
1637022701.7548852,9
1637022731.8203897,9
1637022761.785098,9
1637022791.8641083,8
1637022821.9429364,8
1637022852.023866,8
1637022881.8822126,8
1637022912.0855076,9
1637022942.0742834,9
1637022972.133082,9
1637023002.0997846,9
1637023032.2031293,9
1637023062.2413425,9
1637023092.1662388,9
1637023122.289265,9
1637023152.3524597,9
1637023182.319083,9
1637023212.403057,9
1637023242.3722477,8
1637023272.4600754,9
1637023302.4181635,8
1637023332.489132,8
1637023362.4605756,8
1637023392.4297729,8
1637023422.5568192,8
1637023452.5760558,8
1637023482.5685234,8
1637023512.535838,7
1637023542.724454,8
1637023572.6916287,7
1637023602.777743,8
1637023632.752591,8
1637023662.706869,8
1637023692.7870061,8
1637023722.7585423,8
1637023752.9722102,8
1637023782.9462674,8
1637023813.0055897,8
1637023843.0726056,8
1637023873.0555193,8
1637023903.1327782,8
1637023932.990896,8
1637023963.0498412,8
1637023993.1275609,8
1637024023.211311,8
1637024053.2868233,8
1637024083.240858,8
1637024113.3195088,9
1637024143.2856145,9
1637024173.2098308,9
1637024203.3976958,9
1637024233.3839796,9
1637024263.4762876,9
1637024293.5395586,9
1637024323.5101514,9
1637024353.5724907,9
1637024383.5354202,9
1637024413.6287003,9
1637024443.6009634,9
1637024473.67765,9
1637024503.6506264,9
1637024533.61473,9
1637024563.7724736,9
1637024593.7565982,9
1637024623.8536592,9
1637024653.818636,9
1637024683.8688378,9
1637024713.9655619,8
1637024743.9962828,6
1637024774.0498285,8
1637024803.999055,8
1637024834.1108458,9
1637024864.0615754,8
1637024894.0496657,9
1637024924.1835096,9
1637024954.122571,9
1637024984.190616,9
1637025014.238456,9
1637025044.2975767,9
1637025074.279536,9
1637025104.346847,9
1637025134.31064,9
1637025164.3556287,7
1637025194.435775,7
1637025224.2963362,7
1637025254.4799304,7
1637025284.5448017,7
1637025314.5106986,6
1637025344.587221,6
1637025374.6509502,6
1637025404.6188457,6
1637025434.6204238,6
1637025464.7135088,5
1637025494.6806095,6
1637025524.7106414,6
1637025554.781083,7
1637025584.8535733,7
1637025614.8836665,7
1637025644.9318242,7
1637025674.902615,7
1637025704.9457521,8
1637025734.952116,8
1637025765.0279455,7
1637025795.0092082,7
1637025825.1204245,7
1637025855.058482,8
1637025885.1537259,8
1637025915.2116823,8
1637025945.212757,8
1637025975.1181188,8
1637026005.2427833,8
1637026035.3255398,8
1637026065.289861,7
1637026095.3726163,7
1637026125.3518124,7
1637026155.4367213,7
1637026185.4145408,7
1637026215.491651,7
1637026245.3695455,8
1637026275.5901997,8
1637026305.5595658,8
1637026335.6227965,8
1637026365.4890769,8
1637026395.6948466,6
1637026425.7370179,8
1637026455.6939726,7
1637026485.7430136,6
1637026515.825072,6
1637026545.7879758,6
1637026575.8828905,6
1637026605.8473108,6
1637026635.9240768,6
1637026665.9001832,6
1637026695.871124,6
1637026725.9887679,7
1637026756.0512295,7
1637026786.1299043,6
1637026816.1200984,6
1637026846.1427782,6
1637026876.1139205,6
1637026906.210184,7
1637026936.3006322,7
1637026966.268626,7
1637026996.3625972,7
1637027026.3327715,7
1637027056.300241,7
1637027086.2707324,7
1637027116.3806565,7
1637027146.4739122,7
1637027176.458715,7
1637027206.534637,7
1637027236.4106877,6
1637027266.5706463,6
1637027296.6684065,6
1637027326.5071003,6
1637027356.6970053,6
1637027386.6628258,6
1637027416.7385452,6
1637027446.7100537,6
1637027476.773691,6
1637027506.8351433,6
1637027536.9108405,6
1637027566.880657,6
1637027596.9292474,7
1637027626.914869,7
1637027657.01798,8
1637027686.9706664,8
1637027717.051059,8
1637027747.13208,8
1637027776.9562757,8
1637027807.1172388,8
1637027837.17968,7
1637027867.2400103,6
1637027897.101458,6
1637027927.160335,6
1637027957.129155,5
1637027987.3147628,5
1637028017.3860826,6
1637028047.2422996,5
1637028077.383138,6
1637028107.460821,5
1637028137.4261262,4
1637028167.457253,5
1637028197.536025,6
1637028227.4183478,6
1637028257.6149364,6
1637028287.5874107,6
1637028317.612084,6
1637028347.5880857,6
1637028377.7721362,6
1637028407.7395377,5
1637028437.8062363,5
1637028467.7110064,5
1637028497.7688167,5
1637028527.8457646,5
1637028557.8009875,5
1637028587.9887211,5
1637028617.9618678,5
1637028648.0090725,5
1637028677.9711683,3
1637028708.0088053,4
1637028738.0746577,6
1637028768.039994,6
1637028798.0040631,6
1637028828.1929266,6
1637028858.1649232,6
1637028888.2400024,6
1637028918.315341,6
1637028948.2848985,6
1637028978.3339837,5
1637029008.4012728,5
1637029038.3623283,5
1637029068.44717,5
1637029098.413034,5
1637029128.4891608,5
1637029158.571008,5
1637029188.5388765,5
1637029218.5058217,5
1637029248.5812266,5
1637029278.6473713,4
1637029308.6181102,4
1637029338.6623385,4
1637029368.741182,4
1637029398.7099004,4
1637029428.7678964,4
1637029458.8679187,4
1637029488.8480318,4
1637029518.927758,5
1637029548.8939202,5
1637029578.941733,4
1637029608.8847842,6
1637029638.9442568,5
1637029668.9187448,7
1637029699.0960217,6
1637029729.0882192,6
1637029759.0387158,6
1637029789.175222,6
1637029819.035816,6
1637029849.2427316,6
1637029879.11805,7
1637029909.285877,7
1637029939.3696804,7
1637029969.3375556,7
1637029999.3818307,9
1637030029.4241533,7
1637030059.5058935,8
1637030089.4140637,8
1637030119.361768,7
1637030149.596911,8
1637030179.5808575,8
1637030209.6651661,8
1637030239.5807865,8
1637030269.5719824,8
1637030299.6590087,8
1637030329.7586102,7
1637030359.635749,7
1637030389.8339043,7
1637030419.8037274,6
1637030449.8989215,7
1637030479.8462014,7
1637030509.845692,7
1637030539.8351042,6
1637030569.9020672,6
1637030599.9747055,6
1637030630.0257347,6
1637030660.116634,6
1637030690.0728407,7
1637030720.0526004,8
1637030750.11186,7
1637030780.080737,6
1637030810.2406769,7
1637030840.1916106,7
1637030870.3382087,8
1637030900.2069633,8
1637030930.2849653,8
1637030960.3627698,8
1637030990.3321898,7
1637031020.3959606,5
1637031050.505988,5
1637031080.4309514,6
1637031110.397524,6
1637031140.5868752,6
1637031170.645141,6
1637031200.7101662,6
1637031230.6759183,6
1637031260.7578297,5
1637031290.728756,4
1637031320.8006248,3
1637031350.7811382,3
1637031380.7418818,3
1637031410.9084237,4
1637031440.8644664,4
1637031470.941674,4
1637031501.018753,4
1637031530.929471,5
1637031560.8948712,5
1637031590.9761012,5
1637031621.0547073,5
1637031651.1176615,5
1637031681.19437,5
1637031711.1647635,5
1637031741.2266483,5
1637031771.2994306,5
1637031801.2680368,4
1637031831.3332431,4
1637031861.2985618,3
1637031891.2713568,3
1637031921.2406375,3
1637031951.318272,3
1637031981.5085568,2
1637032011.3664386,2
1637032041.4292138,2
1637032071.3942409,2
1637032101.5482874,3
1637032131.6324656,3
1637032161.7073982,3
1637032191.6793225,3
1637032221.7532802,3
1637032251.720122,3
1637032281.8011749,3
1637032311.8655064,3
1637032341.8342495,3
1637032371.8971756,3
1637032401.7580912,3
1637032431.8316717,3
1637032461.924362,3
1637032492.0065901,3
1637032522.0853338,4
1637032551.9453113,4
1637032582.130628,4
1637032612.193305,4
1637032642.0512865,4
1637032672.2454011,4
1637032702.0850217,4
1637032732.2546048,4
1637032762.2231069,4
1637032792.1904612,4
1637032822.3771274,4
1637032852.4411852,4
1637032882.4190817,4
1637032912.4862165,4
1637032942.4594738,4
1637032972.534891,4
1637033002.5031948,4
1637033032.4729362,4
1637033062.5497615,4
